"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
record_id,preliminary_patient_tracking,,text,"Record ID",,,,,,,,,,,,,
first_name,preliminary_patient_tracking,"<div class=""rich-text-field-label""><h5><span style=""color: #3598db;""><em>Sign Up:</em></span></h5></div>",text,"Patient First Name:",,,,,,y,,y,,,,,
last_name,preliminary_patient_tracking,,text,"Patient Last Name:",,,,,,y,,y,,,,,
phone,preliminary_patient_tracking,,text,"Patient Phone Number:",,,,,,y,,y,,,,,
patient_email,preliminary_patient_tracking,,text,"Patient Email Address:",,,,,,y,,y,,,,,
contact_notes,preliminary_patient_tracking,,text,"Notes for Contact Methods:",,,,,,,,,,,,,
preferred_contact_date,preliminary_patient_tracking,,checkbox,"Preferred days of the week to be contacted?
(check all that apply)","1, Sunday | 2, Monday | 3, Tuesday | 4, Wednesday | 5, Thursday | 6, Friday | 7, Saturday",,,,,,,,,,,,
time_wish_to_contact,preliminary_patient_tracking,,checkbox,"Preferred time of the day to be contacted?
(check all that apply)","0, Morning | 1, Afternoon | 2, Evening",,,,,,,,,,,,
heard_about_study,preliminary_patient_tracking,,radio,"How did you hear about the Cleveland Clinic Brain Study?","0, Search Engine (Google, Yahoo, etc.) | 1, Recommended by friend, family, or colleague | 2, Social Media (Facebook, Twitter, etc.) | 3, Heard on Radio | 4, Heard on TV | 20, Other",,,,,,,,,,,,
heard_about_study_note,preliminary_patient_tracking,,text,"Other please specify:",,,,,,,"[heard_about_study] = '20'",,,,,,
initial_contact,preliminary_patient_tracking,,text,"Date of Web Signup:",,,datetime_seconds_mdy,,,,,y,,,,,
referral_source,preliminary_patient_tracking,,text,"Referral Source:",,,,,,y,,,,,,,
ccf_patient,preliminary_patient_tracking,,yesno,"CCF Patient",,,,,,y,,,,,,,
mrn,preliminary_patient_tracking,,text,MRN,,,,,,y,,,,,,,
study_contact,preliminary_patient_tracking,"<div class=""rich-text-field-label""><h5><span style=""color: #3598db;""><em>First Call:</em></span></h5></div>",yesno,"Was patient call attempted by study member following web signup?",,,,,,,,y,,,,,
contact_date,preliminary_patient_tracking,,text,"First Call 1st Attempt Date:",,,datetime_seconds_mdy,,,,"[study_contact] = '1'",y,,,,,
study_member,preliminary_patient_tracking,,dropdown,"First Call 1st Attempt Made by Study Member:","1, Leah Holpit | 2, Brandon Nightingale | 3, Jakob Thorn | 4, Andy Ramadan | 5, Hannah Thome | 6, Abigail Priel | 7, Lisa Ferguson",,,,,,"[study_contact] = '1'",y,,,,,
call_response,preliminary_patient_tracking,,radio,"First Call 1st Attempt Outcome: ","1, Able to speak to patient and determine patient interest and eligibility | 2, Patient asked for more time to review | 3, Asked for call back (not good time) | 4, Left voicemail for return call | 5, Not able to reach (number not in service, voicemail box full)",,,,,,"[study_contact] = '1'",y,,,,,
contact_date2,preliminary_patient_tracking,,text,"First Call 2nd Attempt Date:",,,datetime_seconds_mdy,,,,"[study_contact] = '1'",,,,,,
study_member2,preliminary_patient_tracking,,dropdown,"First Call 2nd Attempt Made by Study Member:","1, Leah Holpit | 2, Brandon Nightingale | 3, Jakob Thorn | 4, Andy Ramadan | 5, Hannah Thome | 6, Abigail Priel | 7, Lisa Ferguson",,,,,,"[study_contact] = '1'",,,,,,
